date,type,category,index
2023-12-01,output,intensive_eggs,169.6475136366617
2023-12-01,output,free_range_eggs,167.61918998107788
2023-12-01,output,wool_clip,169.0322580645161
2023-12-01,input,all_agricultural_inputs,130.23517492320812
2023-12-01,input,all_goods_and_services_currently_consumed_in_agriculture,130.66132343001652
2023-12-01,input,seeds_input,106.5913690832355
2023-12-01,input,energy_and_lubricants,155.18520488461743
2023-12-01,input,electricity,162.1204049014385
2023-12-01,input,fuels_for_heating,172.2874589008924
2023-12-01,input,motor_fuels,150.10220157143314
2023-12-01,input,fertilisers_and_soil_improvers,160.66349316019495
2023-12-01,input,straight_fertilisers,160.95679843755963
2023-12-01,input,straight_fertilisers_nitrogenous,160.22781491722995
2023-12-01,input,straight_fertilisers_phosphatic,171.38007946365286
2023-12-01,input,straight_fertilisers_potassic,162.5331109910256
2023-12-01,input,compound_fertilisers,172.6643221829885
2023-12-01,input,other_fertilisers_and_soil_improvers,115.21377851639218
2023-12-01,input,plant_protection_products,128.12978032871396
2023-12-01,input,fungicides,111.59841288368106
2023-12-01,input,insecticides,111.2249738793296
2023-12-01,input,herbicides,117.21298862671856
2023-12-01,input,other_plant_protection_products,260.928382795125
2023-12-01,input,veterinary_services,105.80250333418672
2023-12-01,input,animal_feedingstuffs,132.15994405957278
2023-12-01,input,straight_feedingstuffs,127.23075384166799
2023-12-01,input,cereal_and_milling_by_products,117.90687912196319
2023-12-01,input,feed_wheat,115.8437616990576
2023-12-01,input,feed_barley,126.87367635667908
2023-12-01,input,feed_oats,139.74163422758085
2023-12-01,input,oilcakes,136.79537296884578
2023-12-01,input,soya_bean_meal,137.56480462467863
2023-12-01,input,sunflower_seed_meal,97.13869772803919
2023-12-01,input,rape_seed_meal,138.0640332313988
2023-12-01,input,products_of_animal_origin_incl_white_fish_meal,119.25909322934689
2023-12-01,input,other_straights,126.89642911065
2023-12-01,input,field_peas,115.8933558292478
2023-12-01,input,field_beans,112.10864329287718
2023-12-01,input,soya_beans,134.8177222065699
2023-12-01,input,compound_feedingstuffs,134.18113833015832
2023-12-01,input,compound_feedingstuffs_for_cattle_and_calves,136.1917611065306
2023-12-01,input,compound_feedingstuffs_for_pigs,127.86580873337142
2023-12-01,input,compound_feedingstuffs_for_poultry,134.38761750373598
2023-12-01,input,compound_feedingstuffs_for_sheep,138.9361824426206
2023-12-01,input,maintenance_of_materials,122.39794205102847
2023-12-01,input,maintenance_of_buildings,136.4405521745584
